,Unnamed: 0,Location,Arthritis,Cancer_x,Diabetes_x,Cholesterol_x,Obese_x,HBP_x,Routine_x,NoInsurance_x,ElderlyPoverty_x,ElderlyAlone_x,FemaleServices_x,MaleServices_x,Cancer_y,Diabetes_y,Cholesterol_y,Obese_y,HBP_y,Routine_y,NoInsurance_y,ElderlyPoverty_y,ElderlyAlone_y,FemaleServices_y,MaleServices_y,NoVehicle,INTPTLAT10,INTPTLON10,GEOID10,Latitude,Longitude
112,112,48453001845,16.0,5.1,7.8,35.2,24.2,25.0,65.7,17.4,10.5,40.5,33.3,33.8,5.1,7.8,35.2,24.2,25.0,65.7,17.4,10.5,40.5,33.3,33.8,3.5,+30.3924928,-097.6904358,48453001845,+30.3924928,-097.6904358
113,113,48453001846,18.6,6.6,8.0,38.8,22.8,28.3,69.4,10.4,6.1,24.5,35.4,36.5,6.6,8.0,38.8,22.8,28.3,69.4,10.4,6.1,24.5,35.4,36.5,1.0,+30.4360238,-097.7137662,48453001846,+30.4360238,-097.7137662
114,114,48453001847,13.2,3.8,7.4,31.9,23.6,22.4,64.7,19.1,16.0,18.7,30.4,31.4,3.8,7.4,31.9,23.6,22.4,64.7,19.1,16.0,18.7,30.4,31.4,3.0,+30.4283475,-097.6904419,48453001847,+30.4283475,-097.6904419
115,115,48453001848,13.9,4.1,7.7,33.5,23.2,23.6,65.4,18.8,0.0,21.3,31.6,31.0,4.1,7.7,33.5,23.2,23.6,65.4,18.8,0.0,21.3,31.6,31.0,4.0,+30.4128065,-097.6797885,48453001848,+30.4128065,-097.6797885
116,116,48453001849,7.3,2.4,3.7,23.3,19.6,14.6,61.0,16.5,15.9,73.5,32.0,33.5,2.4,3.7,23.3,19.6,14.6,61.0,16.5,15.9,73.5,32.0,33.5,4.7,+30.3946433,-097.7201274,48453001849,+30.3946433,-097.7201274
117,117,48453001850,9.3,2.7,5.1,26.8,22.7,18.3,61.9,20.5,0.0,47.6,31.8,31.5,2.7,5.1,26.8,22.7,18.3,61.9,20.5,0.0,47.6,31.8,31.5,2.9,+30.4119050,-097.7017858,48453001850,+30.4119050,-097.7017858
118,118,48453001851,9.0,2.7,4.8,26.0,23.1,17.8,62.8,18.6,0.0,48.1,32.6,31.1,2.7,4.8,26.0,23.1,17.8,62.8,18.6,0.0,48.1,32.6,31.1,3.3,+30.4623101,-097.6772253,48453001851,+30.4623101,-097.6772253
119,119,48453001855,12.6,3.8,6.5,30.2,25.7,22.3,65.8,16.6,0.0,4.7,30.6,30.3,3.8,6.5,30.2,25.7,22.3,65.8,16.6,0.0,4.7,30.6,30.3,4.0,+30.4750263,-097.6114913,48453001855,+30.4750263,-097.6114913
120,120,48453001856,15.4,4.4,9.0,34.1,26.6,26.0,67.1,19.2,0.0,11.8,29.7,32.0,4.4,9.0,34.1,26.6,26.0,67.1,19.2,0.0,11.8,29.7,32.0,2.4,+30.3634692,-097.5762338,48453001856,+30.3634692,-097.5762338
121,121,48453001901,13.4,5.5,5.4,33.3,19.7,22.6,66.6,9.2,1.7,30.2,37.5,38.9,5.5,5.4,33.3,19.7,22.6,66.6,9.2,1.7,30.2,37.5,38.9,2.6,+30.2502689,-097.7862402,48453001901,+30.2502689,-097.7862402
122,122,48453001908,11.3,3.8,5.4,30.1,21.8,19.4,63.5,15.8,3.6,20.1,34.1,34.7,3.8,5.4,30.1,21.8,19.4,63.5,15.8,3.6,20.1,34.1,34.7,2.5,+30.2757842,-097.8781925,48453001908,+30.2757842,-097.8781925
123,123,48453001910,18.2,7.5,7.2,38.5,19.4,28.1,71.0,8.5,1.3,25.0,36.2,38.8,7.5,7.2,38.5,19.4,28.1,71.0,8.5,1.3,25.0,36.2,38.8,8.1,+30.2700666,-097.7980310,48453001910,+30.2700666,-097.7980310
124,124,48453001911,7.9,3.1,3.4,25.4,17.7,15.3,62.1,11.0,14.7,39.7,38.8,36.7,3.1,3.4,25.4,17.7,15.3,62.1,11.0,14.7,39.7,38.8,36.7,4.9,+30.2581392,-097.7859887,48453001911,+30.2581392,-097.7859887
125,125,48453001912,16.9,6.7,7.0,38.9,20.3,27.9,70.3,7.9,8.6,7.1,38.5,37.7,6.7,7.0,38.9,20.3,27.9,70.3,7.9,8.6,7.1,38.5,37.7,0.5,+30.3271346,-097.8209620,48453001912,+30.3271346,-097.8209620
126,126,48453001913,16.6,6.7,6.7,39.2,19.9,27.7,70.7,6.6,4.1,16.1,40.5,38.7,6.7,6.7,39.2,19.9,27.7,70.7,6.6,4.1,16.1,40.5,38.7,0.0,+30.3181162,-097.7980058,48453001913,+30.3181162,-097.7980058
127,127,48453001914,15.6,6.4,6.1,35.3,19.7,24.4,68.8,8.8,0.0,55.2,36.9,38.5,6.4,6.1,35.3,19.7,24.4,68.8,8.8,0.0,55.2,36.9,38.5,7.8,+30.2570613,-097.8391345,48453001914,+30.2570613,-097.8391345
128,128,48453001915,20.1,7.6,8.5,38.1,21.5,30.1,69.0,14.9,3.1,33.8,30.5,35.2,7.6,8.5,38.1,21.5,30.1,69.0,14.9,3.1,33.8,30.5,35.2,9.7,+30.2404350,-097.8367552,48453001915,+30.2404350,-097.8367552
129,129,48453001917,14.9,5.9,6.6,37.5,18.8,25.6,70.1,7.1,1.5,14.7,39.4,37.2,5.9,6.6,37.5,18.8,25.6,70.1,7.1,1.5,14.7,39.4,37.2,0.4,+30.2743803,-097.8286870,48453001917,+30.2743803,-097.8286870
130,130,48453001919,18.0,7.3,7.2,40.1,20.0,28.4,71.7,7.1,0.0,25.0,41.7,40.9,7.3,7.2,40.1,20.0,28.4,71.7,7.1,0.0,25.0,41.7,40.9,1.4,+30.2772616,-097.7950966,48453001919,+30.2772616,-097.7950966
131,131,48453002002,16.4,5.5,7.9,35.5,24.1,24.9,66.6,16.0,1.7,29.9,33.6,35.3,5.5,7.9,35.5,24.1,24.9,66.6,16.0,1.7,29.9,33.6,35.3,10.7,+30.2229526,-097.7848719,48453002002,+30.2229526,-097.7848719
132,132,48453002003,15.6,3.9,9.9,35.1,29.6,24.9,61.8,32.2,26.5,23.6,24.8,28.8,3.9,9.9,35.1,29.6,24.9,61.8,32.2,26.5,23.6,24.8,28.8,6.9,+30.2190129,-097.7747284,48453002003,+30.2190129,-097.7747284
133,133,48453002004,10.9,3.4,5.6,29.3,23.4,19.5,61.6,18.2,7.4,49.6,30.7,34.6,3.4,5.6,29.3,23.4,19.5,61.6,18.2,7.4,49.6,30.7,34.6,21.0,+30.2361336,-097.7881710,48453002004,+30.2361336,-097.7881710
134,134,48453002005,13.1,3.6,7.3,31.6,27.6,22.8,60.1,27.0,2.4,51.9,25.1,30.8,3.6,7.3,31.6,27.6,22.8,60.1,27.0,2.4,51.9,25.1,30.8,10.7,+30.2348342,-097.7801524,48453002005,+30.2348342,-097.7801524
135,135,48453002104,17.0,5.0,9.2,34.8,28.1,26.1,64.6,23.5,0.0,28.1,27.2,32.1,5.0,9.2,34.8,28.1,26.1,64.6,23.5,0.0,28.1,27.2,32.1,3.3,+30.3147279,-097.6965720,48453002104,+30.3147279,-097.6965720
136,136,48453002105,14.4,3.3,9.9,33.5,30.9,25.7,60.6,37.4,17.5,48.3,22.8,26.6,3.3,9.9,33.5,30.9,25.7,60.6,37.4,17.5,48.3,22.8,26.6,25.4,+30.3149177,-097.7055914,48453002105,+30.3149177,-097.7055914
137,137,48453002106,19.0,5.5,11.0,36.1,27.9,28.4,66.6,25.3,14.3,37.0,27.4,30.1,5.5,11.0,36.1,27.9,28.4,66.6,25.3,14.3,37.0,27.4,30.1,11.0,+30.3067312,-097.6903036,48453002106,+30.3067312,-097.6903036
138,138,48453002107,20.8,4.7,14.3,38.6,34.4,36.1,67.3,32.7,7.7,14.1,21.9,24.7,4.7,14.3,38.6,34.4,36.1,67.3,32.7,7.7,14.1,21.9,24.7,12.6,+30.2956742,-097.6828574,48453002107,+30.2956742,-097.6828574
139,139,48453002108,19.9,4.4,14.3,36.1,35.2,35.4,68.7,30.9,12.6,17.6,22.5,23.8,4.4,14.3,36.1,35.2,35.4,68.7,30.9,12.6,17.6,22.5,23.8,16.9,+30.2973102,-097.6691258,48453002108,+30.2973102,-097.6691258
140,140,48453002109,23.9,5.7,16.9,39.7,34.1,40.2,71.5,28.8,28.1,43.6,22.7,23.9,5.7,16.9,39.7,34.1,40.2,71.5,28.8,28.1,43.6,22.7,23.9,14.3,+30.2815095,-097.6905732,48453002109,+30.2815095,-097.6905732
141,141,48453002110,18.9,3.8,14.5,36.4,35.8,32.4,64.2,41.9,45.8,31.6,18.9,22.3,3.8,14.5,36.4,35.8,32.4,64.2,41.9,45.8,31.6,18.9,22.3,11.1,+30.2741418,-097.6774597,48453002110,+30.2741418,-097.6774597
142,142,48453002111,17.6,3.6,13.7,36.0,34.3,28.7,62.9,42.4,29.6,18.8,19.7,23.7,3.6,13.7,36.0,34.3,28.7,62.9,42.4,29.6,18.8,19.7,23.7,14.2,+30.2571318,-097.6854100,48453002111,+30.2571318,-097.6854100
143,143,48453002112,17.3,3.7,12.0,34.8,34.6,28.4,61.6,40.7,6.6,24.7,20.9,24.6,3.7,12.0,34.8,34.6,28.4,61.6,40.7,6.6,24.7,20.9,24.6,8.5,+30.3139332,-097.6825965,48453002112,+30.3139332,-097.6825965
